,Gene.name,First.Protein.Description,Intensity.M_1,Intensity.M_2,Intensity.M_3,Intensity.2D_1,Intensity.2D_2,Intensity.2D_3
1,607076,Monocyte differentiation antigen CD14,1610000,1770000,3190000,363000,0,307000
2,A2M,Alpha-2-macroglobulin,2.80E+07,19200000,1.51E+08,8030000,21100000,22500000
3,A2ML1,Alpha-2-macroglobulin like 1,0,104000,0,242000,0,0
4,A4GALT,"Alpha 1,4-galactosyltransferase (P blood group)",0,0,0,0,388000,433000
5,AAAS,Aladin WD repeat nucleoporin,141000,179000,0,730000,931000,638000
6,AADAT,Aminoadipate aminotransferase,0,0,0,0,0,0
7,AAGAB,Alpha and gamma adaptin binding protein,0,0,0,0,252000,0
8,AAK1,AP2 associated kinase 1,1210000,1390000,785000,2590000,2150000,1750000
9,AAK1,BMP2 inducible kinase,0,0,0,0,0,0
10,AAMDC,Adipogenesis associated Mth938 domain containing,635000,435000,328000,0,0,0
11,AAMP,Angio-associated migratory cell protein,202000,193000,241000,681000,575000,561000
12,AAR2,Protein AAR2 homolog,198000,0,0,213000,362000,0
13,AARS1,Alanine--tRNA ligase,0,289000,0,2110000,2970000,2120000
14,AARS1,Alanine--tRNA ligase,23700000,20500000,17700000,5.10E+07,75400000,49500000
15,AARS2,Alanine--tRNA ligase,2210000,0,0,0,0,0
16,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,2290000,2480000,2720000,4070000,4440000,4090000
17,AATF,Apoptosis antagonizing transcription factor,0,0,0,0,0,0
18,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0
19,ABCA1,ATP binding cassette subfamily A member 1,0,0,0,677000,896000,1350000
20,ABCA1,ATP binding cassette subfamily A member 1,583000,817000,1100000,17400000,13800000,23200000
21,ABCA1,ATP binding cassette subfamily A member 1,0,0,0,139000,128000,173000
22,ABCA1,ATP binding cassette subfamily A member 1,110000,0,0,0,329000,0
23,ABCA12,ATP binding cassette subfamily A member 12,0,0,0,596000,341000,794000
24,ABCA2,ATP binding cassette subfamily A member 2,37400,294000,0,745000,1030000,490000
25,ABCA3,ATP binding cassette subfamily A member 3,1440000,1920000,1700000,0,0,0
26,ABCA5,ATP binding cassette subfamily A member 5,1580000,1700000,1670000,969000,632000,801000
27,ABCA8,ATP binding cassette subfamily A member 8,0,0,0,0,49300,0
28,ABCB10,ATP binding cassette subfamily B member 10,0,0,0,0,0,0
29,Abcb11e,Bile salt export pump,12100000,13500000,8330000,2360000,3680000,2840000
30,ABCB4,ATP binding cassette subfamily B member 4,86500000,89500000,86100000,87500000,99200000,93200000
31,ABCB6,ATP-binding cassette sub-family B member 6,2570000,3580000,6120000,5170000,5130000,6440000
32,ABCB7,ATP binding cassette subfamily B member 7,0,0,0,0,0,0
33,ABCB8,ATP binding cassette subfamily B member 8,0,0,0,0,0,0
